  Time            lo        
HH:MM:SS   KB/s in  KB/s out
10:56:35      0.00      0.00
10:56:35      0.00      0.00
10:56:35  20483.15  20483.15
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
10:56:35  28445.64  28445.64
10:56:35  27187.63  27187.63
10:56:35  26586.58  26586.58
10:56:35  29810.69  29810.69
10:56:35  29368.17  29368.17
10:56:35  28014.36  28014.36
10:56:35  28458.26  28458.26
10:56:36  29284.55  29284.55
10:56:36  27178.41  27178.41
10:56:36  29438.11  29438.11
10:56:36  29234.23  29234.23
10:56:36  28833.84  28833.84
10:56:36  27645.00  27645.00
10:56:36  29195.26  29195.26
10:56:36  29649.97  29649.97
10:56:36  28659.01  28659.01
10:56:37  29975.41  29975.41
10:56:37  29630.62  29630.62
10:56:37  25425.62  25425.62
10:56:37  27597.60  27597.60
10:56:37  25320.41  25320.41
10:56:37  19755.52  19755.52
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
10:56:37      0.70      0.70
10:56:37      0.00      0.00
10:56:37      0.00      0.00
10:56:37      0.00      0.00


